trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.9094,7.3554,4.35,0.9094, 0.7355
1,0.9141,7.5418,4.24,0.9141, 0.7542
2,0.9031,7.6325,4.19,0.9031, 0.7633
3,0.8922,8.0603,3.97,0.8922, 0.8060
4,0.9359,7.5067,4.26,0.9359, 0.7507
5,0.9062,7.5377,4.25,0.9062, 0.7538
6,0.9156,7.6328,4.19,0.9156, 0.7633
7,0.9359,7.3661,4.34,0.9359, 0.7366
8,0.9313,7.5299,4.25,0.9313, 0.7530
9,0.9047,7.7549,4.13,0.9047, 0.7755
10,0.8594,7.9335,4.03,0.8594, 0.7933
11,0.9141,7.5941,4.21,0.9141, 0.7594
12,0.8734,7.9408,4.03,0.8734, 0.7941
13,0.9219,7.5737,4.23,0.9219, 0.7574
14,0.8828,8.1358,3.93,0.8828, 0.8136
15,0.8969,7.8181,4.09,0.8969, 0.7818
16,0.9078,7.5359,4.25,0.9078, 0.7536
17,0.9391,7.2982,4.38,0.9391, 0.7298
18,0.8734,8.2685,3.87,0.8734, 0.8269
19,0.8875,8.0662,3.97,0.8875, 0.8066
20,0.9203,7.3975,4.33,0.9203, 0.7398
21,0.9203,7.5117,4.26,0.9203, 0.7512
22,0.8672,8.2734,3.87,0.8672, 0.8273
23,0.8984,7.5051,4.26,0.8984, 0.7505
24,0.8906,7.5601,4.23,0.8906, 0.7560
25,0.9047,7.6866,4.16,0.9047, 0.7687
26,0.8688,8.2150,3.90,0.8688, 0.8215
27,0.9094,7.3479,4.35,0.9094, 0.7348
28,0.8906,8.2134,3.90,0.8906, 0.8213
29,0.9031,7.4746,4.28,0.9031, 0.7475
30,0.9313,7.0089,4.57,0.9313, 0.7009
31,0.8984,7.8208,4.09,0.8984, 0.7821
32,0.8969,8.0054,4.00,0.8969, 0.8005
33,0.8781,7.6549,4.18,0.8781, 0.7655
34,0.9047,7.7578,4.12,0.9047, 0.7758
35,0.9125,7.6858,4.16,0.9125, 0.7686
36,0.8688,7.8509,4.08,0.8688, 0.7851
37,0.9328,7.6670,4.17,0.9328, 0.7667
38,0.8984,7.7702,4.12,0.8984, 0.7770
39,0.9172,7.6796,4.17,0.9172, 0.7680
40,0.9281,7.5130,4.26,0.9281, 0.7513
41,0.8938,7.9221,4.04,0.8938, 0.7922
42,0.9266,7.7363,4.14,0.9266, 0.7736
43,0.8766,8.0297,3.99,0.8766, 0.8030
44,0.9062,7.8817,4.06,0.9062, 0.7882
45,0.9031,7.9489,4.03,0.9031, 0.7949
46,0.9313,7.4949,4.27,0.9313, 0.7495
47,0.8984,7.5751,4.22,0.8984, 0.7575
48,0.8938,8.0884,3.96,0.8938, 0.8088
49,0.9141,7.5552,4.24,0.9141, 0.7555
50,0.8891,7.8816,4.06,0.8891, 0.7882
51,0.9062,8.1085,3.95,0.9062, 0.8108
52,0.9062,8.0115,3.99,0.9062, 0.8012
53,0.8938,7.9073,4.05,0.8938, 0.7907
54,0.9109,7.9008,4.05,0.9109, 0.7901
55,0.8844,7.9128,4.04,0.8844, 0.7913
56,0.9109,7.7967,4.10,0.9109, 0.7797
57,0.8875,7.9011,4.05,0.8875, 0.7901
58,0.8969,7.8688,4.07,0.8969, 0.7869
59,0.8875,7.8733,4.06,0.8875, 0.7873
60,0.9391,7.5130,4.26,0.9391, 0.7513
61,0.9000,7.6317,4.19,0.9000, 0.7632
62,0.9219,7.6011,4.21,0.9219, 0.7601
63,0.9172,7.6739,4.17,0.9172, 0.7674
64,0.9203,7.5207,4.25,0.9203, 0.7521
65,0.9047,7.7640,4.12,0.9047, 0.7764
66,0.8969,7.8002,4.10,0.8969, 0.7800
67,0.9078,7.7814,4.11,0.9078, 0.7781
68,0.9125,7.8241,4.09,0.9125, 0.7824
69,0.9062,7.6060,4.21,0.9062, 0.7606
70,0.8531,7.9181,4.04,0.8531, 0.7918
71,0.9078,7.5210,4.25,0.9078, 0.7521
72,0.9266,7.6535,4.18,0.9266, 0.7654
73,0.9406,7.3892,4.33,0.9406, 0.7389
74,0.9047,7.8951,4.05,0.9047, 0.7895
75,0.8875,8.1512,3.93,0.8875, 0.8151
76,0.9016,7.9720,4.01,0.9016, 0.7972
77,0.8891,8.0280,3.99,0.8891, 0.8028
78,0.9156,7.9317,4.03,0.9156, 0.7932
79,0.9141,7.7933,4.11,0.9141, 0.7793
80,0.9094,7.8250,4.09,0.9094, 0.7825
81,0.9250,7.7121,4.15,0.9250, 0.7712
82,0.9125,7.6917,4.16,0.9125, 0.7692
83,0.9359,7.7111,4.15,0.9359, 0.7711
84,0.9391,7.7128,4.15,0.9391, 0.7713
85,0.9234,7.6425,4.19,0.9234, 0.7643
86,0.9266,7.7173,4.15,0.9266, 0.7717
87,0.9328,7.7261,4.14,0.9328, 0.7726
88,0.9047,7.8987,4.05,0.9047, 0.7899
89,0.9219,7.6729,4.17,0.9219, 0.7673
90,0.9203,7.9250,4.04,0.9203, 0.7925
91,0.9141,7.9369,4.03,0.9141, 0.7937
92,0.9141,7.9083,4.05,0.9141, 0.7908
93,0.9203,7.9343,4.03,0.9203, 0.7934
94,0.8891,7.9639,4.02,0.8891, 0.7964
95,0.9187,7.9716,4.01,0.9187, 0.7972
96,0.9109,7.9251,4.04,0.9109, 0.7925
97,0.9109,7.7967,4.10,0.9109, 0.7797
98,0.9078,7.8451,4.08,0.9078, 0.7845
99,0.9172,8.0265,3.99,0.9172, 0.8027
100,0.8953,7.9218,4.04,0.8953, 0.7922
101,0.8859,7.9532,4.02,0.8859, 0.7953
102,0.9062,8.0466,3.98,0.9062, 0.8047
103,0.9047,7.7088,4.15,0.9047, 0.7709
104,0.9016,7.9895,4.01,0.9016, 0.7990
105,0.9062,7.5072,4.26,0.9062, 0.7507
106,0.8922,7.9082,4.05,0.8922, 0.7908
107,0.8875,7.8885,4.06,0.8875, 0.7889
108,0.9375,7.5456,4.24,0.9375, 0.7546
109,0.9203,7.5282,4.25,0.9203, 0.7528
110,0.8922,8.2038,3.90,0.8922, 0.8204
111,0.9109,7.3165,4.37,0.9109, 0.7316
112,0.9187,7.3939,4.33,0.9187, 0.7394
113,0.9281,7.4117,4.32,0.9281, 0.7412
114,0.9031,7.8248,4.09,0.9031, 0.7825
115,0.9406,7.3234,4.37,0.9406, 0.7323
116,0.9250,7.6669,4.17,0.9250, 0.7667
117,0.8812,7.4823,4.28,0.8812, 0.7482
118,0.9156,7.5458,4.24,0.9156, 0.7546
119,0.9016,7.7809,4.11,0.9016, 0.7781
120,0.9187,7.7347,4.14,0.9187, 0.7735
121,0.9250,7.8817,4.06,0.9250, 0.7882
122,0.9250,7.8817,4.06,0.9250, 0.7882
123,0.9234,7.8655,4.07,0.9234, 0.7865
124,0.9328,7.8818,4.06,0.9328, 0.7882
125,0.9266,7.8818,4.06,0.9266, 0.7882
126,0.8953,7.8042,4.10,0.8953, 0.7804
127,0.9156,7.8631,4.07,0.9156, 0.7863
