trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.9193,6.0917,5.25,0.9193, 0.6092
1,0.8971,6.4839,4.94,0.8971, 0.6484
2,0.8919,6.3912,5.01,0.8919, 0.6391
3,0.9245,6.3548,5.04,0.9245, 0.6355
4,0.9271,6.4630,4.95,0.9271, 0.6463
5,0.9023,6.5485,4.89,0.9023, 0.6548
6,0.9219,6.4277,4.98,0.9219, 0.6428
7,0.9232,6.3844,5.01,0.9232, 0.6384
8,0.9076,6.2799,5.10,0.9076, 0.6280
9,0.8880,6.0446,5.29,0.8880, 0.6045
10,0.9245,6.5595,4.88,0.9245, 0.6559
11,0.9245,6.5595,4.88,0.9245, 0.6559
12,0.9193,6.5611,4.88,0.9193, 0.6561
13,0.9349,6.4576,4.96,0.9349, 0.6458
14,0.9349,6.4576,4.96,0.9349, 0.6458
15,0.9414,6.2967,5.08,0.9414, 0.6297
16,0.9310,6.2500,5.12,0.9310, 0.6250
17,0.9036,6.3467,5.04,0.9036, 0.6347
18,0.9206,6.5091,4.92,0.9206, 0.6509
19,0.9115,6.3994,5.00,0.9115, 0.6399
20,0.8971,6.4369,4.97,0.8971, 0.6437
21,0.9349,6.4576,4.96,0.9349, 0.6458
22,0.9349,6.5065,4.92,0.9349, 0.6507
23,0.9323,6.3432,5.04,0.9323, 0.6343
24,0.9062,6.3336,5.05,0.9062, 0.6334
25,0.9245,6.4777,4.94,0.9245, 0.6478
26,0.8971,6.3749,5.02,0.8971, 0.6375
27,0.9167,6.5974,4.85,0.9167, 0.6597
28,0.8945,6.5993,4.85,0.8945, 0.6599
29,0.9245,6.4360,4.97,0.9245, 0.6436
30,0.9440,6.6273,4.83,0.9440, 0.6627
31,0.9141,6.6208,4.83,0.9141, 0.6621
32,0.9141,6.6243,4.83,0.9141, 0.6624
33,0.8997,6.6285,4.83,0.8997, 0.6628
34,0.8971,6.5177,4.91,0.8971, 0.6518
35,0.9089,6.5611,4.88,0.9089, 0.6561
36,0.9062,6.3692,5.02,0.9062, 0.6369
37,0.9206,6.6567,4.81,0.9206, 0.6657
38,0.9049,6.6654,4.80,0.9049, 0.6665
39,0.8997,6.3141,5.07,0.8997, 0.6314
40,0.9154,6.3582,5.03,0.9154, 0.6358
41,0.9362,6.6363,4.82,0.9362, 0.6636
42,0.9258,6.6359,4.82,0.9258, 0.6636
43,0.8932,6.6633,4.80,0.8932, 0.6663
44,0.9167,6.2563,5.11,0.9167, 0.6256
45,0.9297,6.5055,4.92,0.9297, 0.6506
46,0.9167,6.4087,4.99,0.9167, 0.6409
47,0.8698,6.5165,4.91,0.8698, 0.6517
48,0.9141,6.4626,4.95,0.9141, 0.6463
49,0.9336,6.5319,4.90,0.9336, 0.6532
50,0.9167,6.3745,5.02,0.9167, 0.6374
51,0.9154,6.7928,4.71,0.9154, 0.6793
52,0.8958,6.6739,4.79,0.8958, 0.6674
53,0.8906,6.5680,4.87,0.8906, 0.6568
54,0.8893,6.6467,4.81,0.8893, 0.6647
55,0.8828,6.7798,4.72,0.8828, 0.6780
56,0.9154,6.7928,4.71,0.9154, 0.6793
57,0.9036,6.2835,5.09,0.9036, 0.6283
58,0.9023,6.2284,5.14,0.9023, 0.6228
59,0.9232,6.4611,4.95,0.9232, 0.6461
60,0.9232,6.5380,4.89,0.9232, 0.6538
61,0.8997,6.5444,4.89,0.8997, 0.6544
62,0.9115,6.6304,4.83,0.9115, 0.6630
63,0.8971,6.5301,4.90,0.8971, 0.6530
64,0.9180,6.3963,5.00,0.9180, 0.6396
65,0.8750,6.4935,4.93,0.8750, 0.6493
66,0.9180,6.3386,5.05,0.9180, 0.6339
67,0.9388,6.6264,4.83,0.9388, 0.6626
68,0.9284,6.5133,4.91,0.9284, 0.6513
69,0.9206,6.6204,4.83,0.9206, 0.6620
70,0.8711,6.3102,5.07,0.8711, 0.6310
71,0.9388,6.5997,4.85,0.9388, 0.6600
72,0.9297,6.4378,4.97,0.9297, 0.6438
73,0.9297,6.3409,5.05,0.9297, 0.6341
74,0.9154,6.5296,4.90,0.9154, 0.6530
75,0.9427,6.4011,5.00,0.9427, 0.6401
76,0.9284,6.5887,4.86,0.9284, 0.6589
77,0.9219,6.2597,5.11,0.9219, 0.6260
78,0.9076,6.4734,4.94,0.9076, 0.6473
79,0.9089,6.5749,4.87,0.9089, 0.6575
80,0.9167,6.5138,4.91,0.9167, 0.6514
81,0.9141,6.6401,4.82,0.9141, 0.6640
82,0.9180,6.5652,4.87,0.9180, 0.6565
83,0.9258,6.4212,4.98,0.9258, 0.6421
84,0.9219,6.3549,5.04,0.9219, 0.6355
85,0.9076,6.6020,4.85,0.9076, 0.6602
86,0.9466,6.3950,5.00,0.9466, 0.6395
87,0.9466,6.3950,5.00,0.9466, 0.6395
88,0.9245,6.3999,5.00,0.9245, 0.6400
89,0.9154,6.5623,4.88,0.9154, 0.6562
90,0.9049,6.5133,4.91,0.9049, 0.6513
91,0.9349,6.3987,5.00,0.9349, 0.6399
92,0.9089,6.5897,4.86,0.9089, 0.6590
93,0.9062,6.6183,4.84,0.9062, 0.6618
94,0.9128,6.4817,4.94,0.9128, 0.6482
95,0.9297,6.4183,4.99,0.9297, 0.6418
96,0.9049,6.4631,4.95,0.9049, 0.6463
97,0.8971,6.4218,4.98,0.8971, 0.6422
98,0.9076,6.5389,4.89,0.9076, 0.6539
99,0.9193,6.2798,5.10,0.9193, 0.6280
100,0.9115,6.6279,4.83,0.9115, 0.6628
101,0.9049,6.7325,4.75,0.9049, 0.6733
102,0.9154,6.7393,4.75,0.9154, 0.6739
103,0.9062,6.4955,4.93,0.9062, 0.6495
104,0.9323,6.3487,5.04,0.9323, 0.6349
105,0.9310,6.4111,4.99,0.9310, 0.6411
106,0.9128,6.4655,4.95,0.9128, 0.6466
107,0.8841,6.4700,4.95,0.8841, 0.6470
108,0.8971,6.6236,4.83,0.8971, 0.6624
109,0.9258,6.5433,4.89,0.9258, 0.6543
110,0.9401,6.3096,5.07,0.9401, 0.6310
