trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.6797,6.2340,5.13,0.6797, 0.6234
1,0.6797,6.2713,5.10,0.6797, 0.6271
2,0.7656,6.1296,5.22,0.7656, 0.6130
3,0.6094,5.9544,5.37,0.6094, 0.5954
4,0.6797,6.3696,5.02,0.6797, 0.6370
5,0.7188,6.2449,5.12,0.7188, 0.6245
6,0.6797,6.4066,4.99,0.6797, 0.6407
7,0.6484,6.5089,4.92,0.6484, 0.6509
8,0.6250,6.1407,5.21,0.6250, 0.6141
9,0.7109,6.2965,5.08,0.7109, 0.6297
10,0.5938,6.1270,5.22,0.5938, 0.6127
11,0.6797,6.2385,5.13,0.6797, 0.6239
12,0.6328,6.1834,5.18,0.6328, 0.6183
13,0.7812,6.3191,5.06,0.7812, 0.6319
14,0.5312,6.2979,5.08,0.5312, 0.6298
15,0.6562,6.2988,5.08,0.6562, 0.6299
16,0.7344,6.2983,5.08,0.7344, 0.6298
17,0.6562,6.3810,5.01,0.6562, 0.6381
18,0.7109,6.2603,5.11,0.7109, 0.6260
19,0.6484,6.3724,5.02,0.6484, 0.6372
20,0.6797,6.1932,5.17,0.6797, 0.6193
21,0.6953,6.2978,5.08,0.6953, 0.6298
22,0.7188,6.3387,5.05,0.7188, 0.6339
23,0.6875,6.3039,5.08,0.6875, 0.6304
24,0.7344,6.2289,5.14,0.7344, 0.6229
25,0.6484,6.3261,5.06,0.6484, 0.6326
26,0.6719,6.3457,5.04,0.6719, 0.6346
27,0.7188,6.1891,5.17,0.7188, 0.6189
28,0.6719,6.1794,5.18,0.6719, 0.6179
29,0.6328,6.4364,4.97,0.6328, 0.6436
30,0.6562,6.1213,5.23,0.6562, 0.6121
31,0.6719,6.3126,5.07,0.6719, 0.6313
32,0.5156,6.4635,4.95,0.5156, 0.6464
33,0.6719,6.3098,5.07,0.6719, 0.6310
34,0.5781,6.2376,5.13,0.5781, 0.6238
35,0.6172,6.2612,5.11,0.6172, 0.6261
36,0.6875,6.2840,5.09,0.6875, 0.6284
37,0.6562,6.2074,5.16,0.6562, 0.6207
38,0.6953,6.1595,5.20,0.6953, 0.6160
39,0.7969,6.1612,5.19,0.7969, 0.6161
40,0.6875,6.2781,5.10,0.6875, 0.6278
41,0.7109,6.2178,5.15,0.7109, 0.6218
42,0.6953,6.1630,5.19,0.6953, 0.6163
43,0.6875,6.2344,5.13,0.6875, 0.6234
44,0.7266,6.3772,5.02,0.7266, 0.6377
45,0.7266,6.3777,5.02,0.7266, 0.6378
46,0.7500,6.3645,5.03,0.7500, 0.6364
47,0.6797,6.4504,4.96,0.6797, 0.6450
48,0.7109,6.4015,5.00,0.7109, 0.6401
49,0.7031,6.2272,5.14,0.7031, 0.6227
50,0.5781,6.2694,5.10,0.5781, 0.6269
51,0.6406,6.2599,5.11,0.6406, 0.6260
52,0.7734,6.3122,5.07,0.7734, 0.6312
53,0.6406,6.1118,5.24,0.6406, 0.6112
54,0.7031,6.2906,5.09,0.7031, 0.6291
55,0.6953,6.3354,5.05,0.6953, 0.6335
56,0.5938,6.1040,5.24,0.5938, 0.6104
57,0.6953,6.1105,5.24,0.6953, 0.6110
58,0.6484,6.5218,4.91,0.6484, 0.6522
59,0.6484,6.5218,4.91,0.6484, 0.6522
60,0.7266,6.3053,5.08,0.7266, 0.6305
61,0.6719,6.5041,4.92,0.6719, 0.6504
62,0.7578,6.2704,5.10,0.7578, 0.6270
63,0.7344,6.2029,5.16,0.7344, 0.6203
64,0.7188,6.1852,5.17,0.7188, 0.6185
65,0.6797,6.1162,5.23,0.6797, 0.6116
66,0.6797,6.2353,5.13,0.6797, 0.6235
67,0.7578,6.1767,5.18,0.7578, 0.6177
68,0.6641,6.2676,5.11,0.6641, 0.6268
69,0.7656,6.0456,5.29,0.7656, 0.6046
70,0.6875,6.2227,5.14,0.6875, 0.6223
71,0.7266,6.2146,5.15,0.7266, 0.6215
72,0.7109,6.3757,5.02,0.7109, 0.6376
73,0.6719,6.1945,5.17,0.6719, 0.6194
74,0.7344,6.2173,5.15,0.7344, 0.6217
75,0.6797,6.2612,5.11,0.6797, 0.6261
76,0.7500,6.2521,5.12,0.7500, 0.6252
77,0.5469,6.2681,5.11,0.5469, 0.6268
78,0.7109,6.2412,5.13,0.7109, 0.6241
79,0.7422,6.1236,5.23,0.7422, 0.6124
80,0.6016,6.1511,5.20,0.6016, 0.6151
81,0.6328,6.1985,5.16,0.6328, 0.6199
82,0.7344,6.3270,5.06,0.7344, 0.6327
83,0.6953,6.2900,5.09,0.6953, 0.6290
84,0.7109,6.1006,5.25,0.7109, 0.6101
85,0.7812,6.3271,5.06,0.7812, 0.6327
86,0.8438,6.2603,5.11,0.8438, 0.6260
87,0.7578,6.1670,5.19,0.7578, 0.6167
88,0.7109,6.3247,5.06,0.7109, 0.6325
89,0.7266,6.2548,5.12,0.7266, 0.6255
90,0.7266,6.2358,5.13,0.7266, 0.6236
91,0.7500,6.3044,5.08,0.7500, 0.6304
92,0.6641,6.1922,5.17,0.6641, 0.6192
93,0.7812,6.2827,5.09,0.7812, 0.6283
94,0.6797,6.4071,4.99,0.6797, 0.6407
95,0.6719,6.2942,5.08,0.6719, 0.6294
96,0.7656,6.3439,5.04,0.7656, 0.6344
97,0.6797,6.3090,5.07,0.6797, 0.6309
98,0.7109,6.2088,5.15,0.7109, 0.6209
99,0.7031,6.2390,5.13,0.7031, 0.6239
100,0.7422,6.2115,5.15,0.7422, 0.6212
101,0.7031,6.3692,5.02,0.7031, 0.6369
102,0.7188,6.3080,5.07,0.7188, 0.6308
103,0.6562,6.2075,5.16,0.6562, 0.6207
104,0.6875,6.1503,5.20,0.6875, 0.6150
105,0.7109,6.2449,5.12,0.7109, 0.6245
106,0.7656,6.1852,5.17,0.7656, 0.6185
107,0.6562,6.3725,5.02,0.6562, 0.6373
108,0.7422,6.2763,5.10,0.7422, 0.6276
109,0.5938,6.1618,5.19,0.5938, 0.6162
110,0.7344,6.1798,5.18,0.7344, 0.6180
111,0.7109,6.2205,5.14,0.7109, 0.6220
112,0.6484,6.3444,5.04,0.6484, 0.6344
113,0.7266,6.2718,5.10,0.7266, 0.6272
114,0.6016,6.1763,5.18,0.6016, 0.6176
115,0.6875,6.1793,5.18,0.6875, 0.6179
116,0.6562,6.2544,5.12,0.6562, 0.6254
117,0.6562,6.4091,4.99,0.6562, 0.6409
118,0.7188,6.2129,5.15,0.7188, 0.6213
119,0.6562,6.1799,5.18,0.6562, 0.6180
120,0.8281,6.1074,5.24,0.8281, 0.6107
121,0.6328,6.5317,4.90,0.6328, 0.6532
122,0.6250,6.5397,4.89,0.6250, 0.6540
123,0.7266,6.6034,4.85,0.7266, 0.6603
124,0.7266,6.6034,4.85,0.7266, 0.6603
125,0.7266,6.0992,5.25,0.7266, 0.6099
126,0.6875,6.2467,5.12,0.6875, 0.6247
127,0.7578,6.1914,5.17,0.7578, 0.6191
