trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.9023,7.9891,4.01,0.9023, 1.5978
1,0.9206,7.4161,4.31,0.9206, 1.4832
2,0.8737,7.3262,4.37,0.8737, 1.4652
3,0.7760,7.6856,4.16,0.7760, 1.5371
4,0.9258,7.3143,4.38,0.9258, 1.4629
5,0.8906,7.2524,4.41,0.8906, 1.4505
6,0.9258,7.2819,4.39,0.9258, 1.4564
7,0.9036,7.2771,4.40,0.9036, 1.4554
8,0.8229,7.5271,4.25,0.8229, 1.5054
9,0.7826,7.3851,4.33,0.7826, 1.4770
10,0.9219,7.9133,4.04,0.9219, 1.5827
11,0.9219,7.9133,4.04,0.9219, 1.5827
12,0.9128,7.7809,4.11,0.9128, 1.5562
13,0.9167,7.9081,4.05,0.9167, 1.5816
14,0.9128,7.9054,4.05,0.9128, 1.5811
15,0.8268,7.9964,4.00,0.8268, 1.5993
16,0.9284,7.4217,4.31,0.9284, 1.4843
17,0.9076,8.0947,3.95,0.9076, 1.6189
18,0.8828,7.8144,4.10,0.8828, 1.5629
19,0.9102,7.8577,4.07,0.9102, 1.5715
20,0.9115,7.8897,4.06,0.9115, 1.5779
21,0.9167,7.5649,4.23,0.9167, 1.5130
22,0.9284,7.6619,4.18,0.9284, 1.5324
23,0.9362,7.8921,4.05,0.9362, 1.5784
24,0.9219,7.6290,4.19,0.9219, 1.5258
25,0.8854,7.6379,4.19,0.8854, 1.5276
26,0.9076,7.8758,4.06,0.9076, 1.5752
27,0.9102,7.7789,4.11,0.9102, 1.5558
28,0.8763,8.2188,3.89,0.8763, 1.6438
29,0.8867,8.0794,3.96,0.8867, 1.6159
30,0.8724,7.4523,4.29,0.8724, 1.4905
31,0.8763,8.2188,3.89,0.8763, 1.6438
32,0.8763,8.2188,3.89,0.8763, 1.6438
33,0.9232,8.0899,3.96,0.9232, 1.6180
34,0.8945,7.7407,4.13,0.8945, 1.5481
35,0.9180,7.6569,4.18,0.9180, 1.5314
36,0.9258,7.6312,4.19,0.9258, 1.5262
37,0.8841,7.6798,4.17,0.8841, 1.5360
38,0.9076,7.6846,4.16,0.9076, 1.5369
39,0.8398,7.6068,4.21,0.8398, 1.5214
40,0.8828,7.7983,4.10,0.8828, 1.5597
41,0.9167,7.2472,4.42,0.9167, 1.4494
42,0.8958,7.4993,4.27,0.8958, 1.4999
43,0.9245,7.6617,4.18,0.9245, 1.5323
44,0.9258,7.4124,4.32,0.9258, 1.4825
45,0.8307,7.6281,4.20,0.8307, 1.5256
46,0.9089,7.6809,4.17,0.9089, 1.5362
47,0.9336,7.2879,4.39,0.9336, 1.4576
48,0.7799,8.0369,3.98,0.7799, 1.6074
49,0.8984,7.4800,4.28,0.8984, 1.4960
50,0.9492,7.2135,4.44,0.9492, 1.4427
51,0.9492,7.2135,4.44,0.9492, 1.4427
52,0.8763,8.2188,3.89,0.8763, 1.6438
53,0.8763,8.2188,3.89,0.8763, 1.6438
54,0.8815,8.2215,3.89,0.8815, 1.6443
55,0.8854,8.2624,3.87,0.8854, 1.6525
56,0.8490,7.9003,4.05,0.8490, 1.5801
57,0.9232,7.3994,4.32,0.9232, 1.4799
58,0.8359,7.7266,4.14,0.8359, 1.5453
59,0.8932,7.9565,4.02,0.8932, 1.5913
60,0.9049,8.0123,3.99,0.9049, 1.6025
61,0.8789,7.9645,4.02,0.8789, 1.5929
62,0.8854,7.9552,4.02,0.8854, 1.5910
63,0.8503,8.0768,3.96,0.8503, 1.6154
64,0.8997,7.8297,4.09,0.8997, 1.5659
65,0.8737,8.1113,3.95,0.8737, 1.6223
66,0.8724,7.5156,4.26,0.8724, 1.5031
67,0.8984,7.6187,4.20,0.8984, 1.5237
68,0.9310,7.7337,4.14,0.9310, 1.5467
69,0.8685,7.8621,4.07,0.8685, 1.5724
70,0.8854,7.8017,4.10,0.8854, 1.5603
71,0.9076,7.8968,4.05,0.9076, 1.5794
72,0.9219,7.9023,4.05,0.9219, 1.5805
73,0.9349,7.7762,4.12,0.9349, 1.5552
74,0.9102,7.8299,4.09,0.9102, 1.5660
75,0.9089,7.6121,4.20,0.9089, 1.5224
76,0.8542,7.2293,4.43,0.8542, 1.4459
77,0.8919,7.8298,4.09,0.8919, 1.5660
78,0.9245,7.4800,4.28,0.9245, 1.4960
79,0.8971,7.6965,4.16,0.8971, 1.5393
80,0.8724,7.8612,4.07,0.8724, 1.5722
81,0.9180,8.0993,3.95,0.9180, 1.6199
82,0.8815,8.2734,3.87,0.8815, 1.6547
83,0.9271,8.0729,3.96,0.9271, 1.6146
84,0.9232,7.0205,4.56,0.9232, 1.4041
