trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.7292,7.6823,4.17,0.7292, 1.5365
1,0.7435,7.6714,4.17,0.7435, 1.5343
2,0.7435,7.7794,4.11,0.7435, 1.5559
3,0.7721,7.4515,4.29,0.7721, 1.4903
4,0.6419,7.5414,4.24,0.6419, 1.5083
5,0.7669,7.4700,4.28,0.7669, 1.4940
6,0.6706,7.5886,4.22,0.6706, 1.5177
7,0.8294,7.3424,4.36,0.8294, 1.4685
8,0.7253,7.8695,4.07,0.7253, 1.5739
9,0.6641,7.3388,4.36,0.6641, 1.4678
10,0.6875,8.0220,3.99,0.6875, 1.6044
11,0.7201,7.4706,4.28,0.7201, 1.4941
12,0.6497,7.5122,4.26,0.6497, 1.5024
13,0.7578,7.7900,4.11,0.7578, 1.5580
14,0.7148,7.2342,4.42,0.7148, 1.4468
15,0.5807,7.6531,4.18,0.5807, 1.5306
16,0.6979,7.4724,4.28,0.6979, 1.4945
17,0.7357,7.5442,4.24,0.7357, 1.5088
18,0.8151,7.5448,4.24,0.8151, 1.5090
19,0.6654,8.0678,3.97,0.6654, 1.6136
20,0.6823,7.3998,4.32,0.6823, 1.4800
21,0.7747,7.3445,4.36,0.7747, 1.4689
22,0.7383,7.4670,4.29,0.7383, 1.4934
23,0.7500,7.6432,4.19,0.7500, 1.5286
24,0.6797,7.5777,4.22,0.6797, 1.5155
25,0.6784,7.6275,4.20,0.6784, 1.5255
26,0.7266,7.7362,4.14,0.7266, 1.5472
27,0.7135,7.4465,4.30,0.7135, 1.4893
28,0.7839,7.7093,4.15,0.7839, 1.5419
29,0.7096,7.5387,4.24,0.7096, 1.5077
30,0.7669,7.3421,4.36,0.7669, 1.4684
31,0.6810,7.7125,4.15,0.6810, 1.5425
32,0.7240,7.7542,4.13,0.7240, 1.5508
33,0.8021,7.6144,4.20,0.8021, 1.5229
34,0.7148,7.6982,4.16,0.7148, 1.5396
35,0.7669,7.2733,4.40,0.7669, 1.4547
36,0.6471,7.5556,4.24,0.6471, 1.5111
37,0.7878,7.3912,4.33,0.7878, 1.4782
38,0.7721,7.3538,4.35,0.7721, 1.4708
39,0.6914,8.0951,3.95,0.6914, 1.6190
40,0.7786,7.7405,4.13,0.7786, 1.5481
41,0.7174,7.8048,4.10,0.7174, 1.5610
42,0.6667,7.4335,4.30,0.6667, 1.4867
43,0.6810,7.7917,4.11,0.6810, 1.5583
44,0.7122,7.5135,4.26,0.7122, 1.5027
45,0.7747,7.7467,4.13,0.7747, 1.5493
46,0.8151,7.1340,4.49,0.8151, 1.4268
47,0.7135,7.4383,4.30,0.7135, 1.4877
48,0.8242,7.3040,4.38,0.8242, 1.4608
49,0.6927,7.3378,4.36,0.6927, 1.4676
50,0.7930,7.4616,4.29,0.7930, 1.4923
51,0.7422,7.7290,4.14,0.7422, 1.5458
52,0.7917,7.4497,4.30,0.7917, 1.4899
53,0.7318,7.5889,4.22,0.7318, 1.5178
54,0.6458,7.5731,4.23,0.6458, 1.5146
55,0.7604,7.3754,4.34,0.7604, 1.4751
56,0.7760,7.3912,4.33,0.7760, 1.4782
57,0.6107,7.5856,4.22,0.6107, 1.5171
58,0.8307,7.3406,4.36,0.8307, 1.4681
59,0.8281,7.2533,4.41,0.8281, 1.4507
60,0.7917,7.5617,4.23,0.7917, 1.5123
61,0.7552,7.4870,4.27,0.7552, 1.4974
62,0.7148,7.5523,4.24,0.7148, 1.5105
63,0.7331,7.4532,4.29,0.7331, 1.4906
64,0.8411,7.2435,4.42,0.8411, 1.4487
65,0.7591,7.6242,4.20,0.7591, 1.5248
66,0.6875,8.0220,3.99,0.6875, 1.6044
67,0.6341,7.8531,4.07,0.6341, 1.5706
68,0.7982,7.5368,4.25,0.7982, 1.5074
69,0.7656,7.9468,4.03,0.7656, 1.5894
70,0.6523,7.5813,4.22,0.6523, 1.5163
71,0.8021,7.2343,4.42,0.8021, 1.4469
72,0.6693,7.5959,4.21,0.6693, 1.5192
73,0.6953,7.9302,4.04,0.6953, 1.5860
74,0.6719,7.6083,4.21,0.6719, 1.5217
75,0.7578,7.3528,4.35,0.7578, 1.4706
76,0.7044,7.8762,4.06,0.7044, 1.5752
77,0.7148,7.5036,4.26,0.7148, 1.5007
78,0.7708,7.2764,4.40,0.7708, 1.4553
79,0.7448,7.4089,4.32,0.7448, 1.4818
80,0.7214,7.6222,4.20,0.7214, 1.5244
81,0.7812,7.2184,4.43,0.7812, 1.4437
