trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.7839,7.3095,4.38,0.7839, 1.4619
1,0.7799,7.3266,4.37,0.7799, 1.4653
2,0.7721,7.1842,4.45,0.7721, 1.4368
3,0.7214,7.6265,4.20,0.7214, 1.5253
4,0.6732,8.2385,3.88,0.6732, 1.6477
5,0.7734,7.9077,4.05,0.7734, 1.5815
6,0.8255,7.3512,4.35,0.8255, 1.4702
7,0.6901,7.7067,4.15,0.6901, 1.5413
8,0.6523,8.2243,3.89,0.6523, 1.6449
9,0.7174,7.2843,4.39,0.7174, 1.4569
10,0.7773,7.2855,4.39,0.7773, 1.4571
11,0.7357,7.5761,4.22,0.7357, 1.5152
12,0.7227,7.5757,4.22,0.7227, 1.5151
13,0.7227,7.3613,4.35,0.7227, 1.4723
14,0.7331,7.5114,4.26,0.7331, 1.5023
15,0.7240,7.8047,4.10,0.7240, 1.5609
16,0.7461,7.3153,4.37,0.7461, 1.4631
17,0.8477,7.2282,4.43,0.8477, 1.4456
18,0.7096,7.7275,4.14,0.7096, 1.5455
19,0.7396,7.7343,4.14,0.7396, 1.5469
20,0.7161,7.5981,4.21,0.7161, 1.5196
21,0.6836,7.4559,4.29,0.6836, 1.4912
22,0.5807,7.9253,4.04,0.5807, 1.5851
23,0.6693,7.9197,4.04,0.6693, 1.5839
24,0.6484,7.3686,4.34,0.6484, 1.4737
25,0.6823,7.4564,4.29,0.6823, 1.4913
26,0.7565,7.5274,4.25,0.7565, 1.5055
27,0.7174,7.7055,4.15,0.7174, 1.5411
28,0.7734,7.4724,4.28,0.7734, 1.4945
29,0.7266,7.3931,4.33,0.7266, 1.4786
30,0.7721,7.2784,4.40,0.7721, 1.4557
31,0.6966,7.5702,4.23,0.6966, 1.5140
32,0.7292,7.3354,4.36,0.7292, 1.4671
33,0.7539,7.4392,4.30,0.7539, 1.4878
34,0.6823,7.6086,4.21,0.6823, 1.5217
35,0.7630,7.3343,4.36,0.7630, 1.4669
36,0.7396,7.6890,4.16,0.7396, 1.5378
37,0.7786,7.4704,4.28,0.7786, 1.4941
38,0.7279,7.9208,4.04,0.7279, 1.5842
39,0.7057,7.4747,4.28,0.7057, 1.4949
40,0.6628,7.7927,4.11,0.6628, 1.5585
41,0.6966,7.4194,4.31,0.6966, 1.4839
42,0.7865,7.4342,4.30,0.7865, 1.4868
43,0.7917,7.8568,4.07,0.7917, 1.5714
44,0.7786,7.4891,4.27,0.7786, 1.4978
45,0.7305,7.7528,4.13,0.7305, 1.5506
46,0.7487,7.5218,4.25,0.7487, 1.5044
47,0.7812,7.0676,4.53,0.7812, 1.4135
48,0.7747,7.7440,4.13,0.7747, 1.5488
49,0.7552,7.6404,4.19,0.7552, 1.5281
50,0.7435,7.3843,4.33,0.7435, 1.4769
51,0.6576,7.6633,4.18,0.6576, 1.5327
52,0.6602,7.6898,4.16,0.6602, 1.5380
53,0.7891,7.5368,4.25,0.7891, 1.5074
54,0.6966,7.7760,4.12,0.6966, 1.5552
55,0.6992,7.6497,4.18,0.6992, 1.5299
56,0.6302,7.3943,4.33,0.6302, 1.4789
57,0.7096,7.5483,4.24,0.7096, 1.5097
58,0.8385,7.3417,4.36,0.8385, 1.4683
59,0.7109,7.3470,4.36,0.7109, 1.4694
60,0.7240,7.7669,4.12,0.7240, 1.5534
61,0.7513,7.6578,4.18,0.7513, 1.5316
62,0.7552,7.3479,4.35,0.7552, 1.4696
63,0.7344,7.7279,4.14,0.7344, 1.5456
64,0.6745,7.5691,4.23,0.6745, 1.5138
65,0.6719,8.1689,3.92,0.6719, 1.6338
66,0.6615,7.8417,4.08,0.6615, 1.5683
67,0.7578,7.4944,4.27,0.7578, 1.4989
68,0.7266,7.4030,4.32,0.7266, 1.4806
69,0.7201,7.3063,4.38,0.7201, 1.4613
70,0.7552,7.2159,4.43,0.7552, 1.4432
71,0.7292,7.4980,4.27,0.7292, 1.4996
72,0.7122,7.8202,4.09,0.7122, 1.5640
73,0.8138,7.1391,4.48,0.8138, 1.4278
74,0.7591,7.4942,4.27,0.7591, 1.4988
75,0.7240,7.6433,4.19,0.7240, 1.5287
76,0.7422,7.7946,4.11,0.7422, 1.5589
77,0.7917,7.6042,4.21,0.7917, 1.5208
78,0.7682,7.8863,4.06,0.7682, 1.5773
79,0.7422,7.6937,4.16,0.7422, 1.5387
80,0.7135,7.9244,4.04,0.7135, 1.5849
81,0.6497,7.1459,4.48,0.6497, 1.4292
82,0.6641,8.0199,3.99,0.6641, 1.6040
83,0.7292,7.8161,4.09,0.7292, 1.5632
84,0.6706,7.6858,4.16,0.6706, 1.5372
85,0.6471,7.5653,4.23,0.6471, 1.5131
86,0.7474,7.3876,4.33,0.7474, 1.4775
87,0.6966,7.7544,4.13,0.6966, 1.5509
88,0.7344,7.5664,4.23,0.7344, 1.5133
89,0.7448,7.3191,4.37,0.7448, 1.4638
90,0.6823,7.4788,4.28,0.6823, 1.4958
91,0.6302,7.7362,4.14,0.6302, 1.5472
92,0.7812,7.2043,4.44,0.7812, 1.4409
93,0.7135,7.6550,4.18,0.7135, 1.5310
94,0.8099,7.8416,4.08,0.8099, 1.5683
95,0.6810,7.7334,4.14,0.6810, 1.5467
96,0.7344,7.5070,4.26,0.7344, 1.5014
97,0.7057,7.6238,4.20,0.7057, 1.5248
98,0.6406,7.8047,4.10,0.6406, 1.5609
99,0.7227,7.4607,4.29,0.7227, 1.4921
100,0.7552,7.8468,4.08,0.7552, 1.5694
101,0.6823,7.7338,4.14,0.6823, 1.5468
102,0.6823,8.0388,3.98,0.6823, 1.6078
103,0.7409,7.6753,4.17,0.7409, 1.5351
104,0.6615,7.6417,4.19,0.6615, 1.5283
105,0.5964,7.7439,4.13,0.5964, 1.5488
106,0.7005,7.8430,4.08,0.7005, 1.5686
107,0.5677,7.8470,4.08,0.5677, 1.5694
108,0.7461,7.7724,4.12,0.7461, 1.5545
109,0.6602,7.8190,4.09,0.6602, 1.5638
110,0.7487,7.5518,4.24,0.7487, 1.5104
111,0.7005,7.9066,4.05,0.7005, 1.5813
112,0.7943,7.4832,4.28,0.7943, 1.4966
113,0.7057,7.6855,4.16,0.7057, 1.5371
114,0.7044,7.2058,4.44,0.7044, 1.4412
