trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.7318,7.5891,4.22,0.7318, 1.5178
1,0.7422,7.0780,4.52,0.7422, 1.4156
2,0.8216,7.5126,4.26,0.8216, 1.5025
3,0.7201,7.8312,4.09,0.7201, 1.5662
4,0.7812,7.5844,4.22,0.7812, 1.5169
5,0.5820,8.0518,3.97,0.5820, 1.6104
6,0.6953,7.6409,4.19,0.6953, 1.5282
7,0.7201,7.5077,4.26,0.7201, 1.5015
8,0.7318,7.7622,4.12,0.7318, 1.5524
9,0.6497,7.7472,4.13,0.6497, 1.5494
10,0.7656,7.6310,4.19,0.7656, 1.5262
11,0.6081,7.6275,4.20,0.6081, 1.5255
12,0.6901,7.6212,4.20,0.6901, 1.5242
13,0.7018,7.4775,4.28,0.7018, 1.4955
14,0.7669,7.3967,4.33,0.7669, 1.4793
15,0.8151,7.2359,4.42,0.8151, 1.4472
16,0.7253,7.4215,4.31,0.7253, 1.4843
17,0.6836,7.3107,4.38,0.6836, 1.4621
18,0.6549,7.8001,4.10,0.6549, 1.5600
19,0.7083,7.1552,4.47,0.7083, 1.4310
20,0.7513,7.7785,4.11,0.7513, 1.5557
21,0.7383,7.6835,4.16,0.7383, 1.5367
22,0.7461,7.1612,4.47,0.7461, 1.4322
23,0.7031,7.8505,4.08,0.7031, 1.5701
24,0.7721,7.4043,4.32,0.7721, 1.4809
25,0.7682,7.2623,4.41,0.7682, 1.4525
26,0.8034,7.5097,4.26,0.8034, 1.5019
27,0.7344,7.7523,4.13,0.7344, 1.5505
28,0.7474,7.4365,4.30,0.7474, 1.4873
29,0.8333,7.4273,4.31,0.8333, 1.4855
30,0.7839,7.6661,4.17,0.7839, 1.5332
31,0.7096,7.8290,4.09,0.7096, 1.5658
32,0.6940,7.3720,4.34,0.6940, 1.4744
33,0.7487,7.6953,4.16,0.7487, 1.5391
34,0.7734,7.2516,4.41,0.7734, 1.4503
35,0.6237,7.6794,4.17,0.6237, 1.5359
36,0.8190,7.2017,4.44,0.8190, 1.4403
37,0.7565,7.2968,4.39,0.7565, 1.4594
38,0.7409,7.7148,4.15,0.7409, 1.5430
39,0.7305,7.5215,4.25,0.7305, 1.5043
40,0.6966,7.8194,4.09,0.6966, 1.5639
41,0.7305,7.7261,4.14,0.7305, 1.5452
42,0.6341,7.6478,4.18,0.6341, 1.5296
43,0.6758,7.8036,4.10,0.6758, 1.5607
44,0.7995,7.3601,4.35,0.7995, 1.4720
45,0.7214,7.7558,4.13,0.7214, 1.5512
46,0.7812,7.6548,4.18,0.7812, 1.5310
47,0.6667,8.0213,3.99,0.6667, 1.6043
48,0.6029,7.7783,4.11,0.6029, 1.5557
49,0.7969,7.5227,4.25,0.7969, 1.5045
50,0.6836,7.8537,4.07,0.6836, 1.5707
51,0.6927,7.3145,4.37,0.6927, 1.4629
52,0.7370,7.6337,4.19,0.7370, 1.5267
53,0.6771,7.7287,4.14,0.6771, 1.5457
54,0.6810,7.7168,4.15,0.6810, 1.5434
55,0.6940,7.5627,4.23,0.6940, 1.5125
56,0.7773,7.6079,4.21,0.7773, 1.5216
57,0.7643,7.5843,4.22,0.7643, 1.5169
58,0.6784,7.7184,4.15,0.6784, 1.5437
59,0.7656,7.3855,4.33,0.7656, 1.4771
60,0.7943,7.3482,4.35,0.7943, 1.4696
61,0.7487,7.4206,4.31,0.7487, 1.4841
62,0.6836,7.9758,4.01,0.6836, 1.5952
63,0.7565,7.6235,4.20,0.7565, 1.5247
64,0.6602,7.9174,4.04,0.6602, 1.5835
65,0.7917,7.5854,4.22,0.7917, 1.5171
66,0.6628,7.5398,4.24,0.6628, 1.5080
67,0.7253,7.6146,4.20,0.7253, 1.5229
68,0.6992,7.3042,4.38,0.6992, 1.4608
69,0.6615,7.6698,4.17,0.6615, 1.5340
70,0.6992,7.6807,4.17,0.6992, 1.5361
71,0.7904,7.5783,4.22,0.7904, 1.5157
72,0.8086,7.1797,4.46,0.8086, 1.4359
73,0.6667,7.7107,4.15,0.6667, 1.5421
74,0.7214,7.9454,4.03,0.7214, 1.5891
75,0.6771,7.8919,4.05,0.6771, 1.5784
76,0.7357,7.8993,4.05,0.7357, 1.5799
77,0.7878,7.5582,4.23,0.7878, 1.5116
78,0.7904,7.6358,4.19,0.7904, 1.5272
79,0.6758,7.7486,4.13,0.6758, 1.5497
80,0.7240,7.8086,4.10,0.7240, 1.5617
81,0.7643,7.4381,4.30,0.7643, 1.4876
82,0.6602,7.6169,4.20,0.6602, 1.5234
83,0.7773,7.3422,4.36,0.7773, 1.4684
84,0.6432,8.0420,3.98,0.6432, 1.6084
85,0.6159,7.6230,4.20,0.6159, 1.5246
86,0.7578,7.6493,4.18,0.7578, 1.5299
87,0.7565,7.5143,4.26,0.7565, 1.5029
88,0.6523,7.8757,4.06,0.6523, 1.5751
89,0.6393,7.7503,4.13,0.6393, 1.5501
90,0.6758,7.5534,4.24,0.6758, 1.5107
91,0.8047,7.3813,4.34,0.8047, 1.4763
