trial,unscaled_acc,unscaled_mem_density,avg_bitwidth,scaled_acc,scaled_mem_density
0,0.6758,7.5543,4.24,0.6758, 1.5109
1,0.7500,7.3714,4.34,0.7500, 1.4743
2,0.7383,7.5474,4.24,0.7383, 1.5095
3,0.7617,7.5778,4.22,0.7617, 1.5156
4,0.7695,7.5218,4.25,0.7695, 1.5044
5,0.7135,7.7620,4.12,0.7135, 1.5524
6,0.7695,8.0263,3.99,0.7695, 1.6053
7,0.6966,7.8421,4.08,0.6966, 1.5684
8,0.6849,7.8600,4.07,0.6849, 1.5720
9,0.7396,7.3944,4.33,0.7396, 1.4789
10,0.7057,7.8368,4.08,0.7057, 1.5674
11,0.7839,7.8294,4.09,0.7839, 1.5659
12,0.8164,7.8294,4.09,0.8164, 1.5659
13,0.7917,7.7952,4.11,0.7917, 1.5590
14,0.7799,7.7823,4.11,0.7799, 1.5565
15,0.7031,7.9454,4.03,0.7031, 1.5891
16,0.8021,7.4700,4.28,0.8021, 1.4940
17,0.6784,7.3630,4.35,0.6784, 1.4726
18,0.7396,8.2352,3.89,0.7396, 1.6470
19,0.7201,8.2915,3.86,0.7201, 1.6583
20,0.7240,7.5558,4.24,0.7240, 1.5112
21,0.7513,8.0642,3.97,0.7513, 1.6128
22,0.7409,7.9382,4.03,0.7409, 1.5876
23,0.7747,7.6219,4.20,0.7747, 1.5244
24,0.6875,7.7385,4.14,0.6875, 1.5477
25,0.7461,7.6381,4.19,0.7461, 1.5276
26,0.8242,7.7262,4.14,0.8242, 1.5452
27,0.7266,8.2159,3.89,0.7266, 1.6432
28,0.7630,7.8431,4.08,0.7630, 1.5686
29,0.6589,7.5936,4.21,0.6589, 1.5187
30,0.7578,7.3186,4.37,0.7578, 1.4637
31,0.7669,7.8971,4.05,0.7669, 1.5794
32,0.7383,8.2586,3.87,0.7383, 1.6517
33,0.7643,7.9787,4.01,0.7643, 1.5957
34,0.7188,7.9616,4.02,0.7188, 1.5923
35,0.6979,7.8089,4.10,0.6979, 1.5618
36,0.7539,7.7671,4.12,0.7539, 1.5534
37,0.7214,7.8429,4.08,0.7214, 1.5686
38,0.6810,7.7876,4.11,0.6810, 1.5575
39,0.6875,7.7904,4.11,0.6875, 1.5581
40,0.7539,7.7614,4.12,0.7539, 1.5523
41,0.7552,8.0973,3.95,0.7552, 1.6195
42,0.7969,7.8439,4.08,0.7969, 1.5688
43,0.8034,7.8356,4.08,0.8034, 1.5671
44,0.7891,7.8307,4.09,0.7891, 1.5661
45,0.7917,7.8252,4.09,0.7917, 1.5650
46,0.7357,7.9834,4.01,0.7357, 1.5967
47,0.7591,7.7787,4.11,0.7591, 1.5557
48,0.8503,7.4033,4.32,0.8503, 1.4807
49,0.8411,7.0516,4.54,0.8411, 1.4103
50,0.8477,7.3142,4.38,0.8477, 1.4628
51,0.8438,7.3155,4.37,0.8438, 1.4631
52,0.8438,7.3380,4.36,0.8438, 1.4676
53,0.7995,7.3562,4.35,0.7995, 1.4712
54,0.8737,7.0285,4.55,0.8737, 1.4057
55,0.8594,7.1132,4.50,0.8594, 1.4226
56,0.8385,7.2194,4.43,0.8385, 1.4439
57,0.8216,7.1327,4.49,0.8216, 1.4265
58,0.8021,7.2881,4.39,0.8021, 1.4576
59,0.7591,7.3406,4.36,0.7591, 1.4681
60,0.7669,7.4479,4.30,0.7669, 1.4896
61,0.8789,6.8929,4.64,0.8789, 1.3786
62,0.7214,7.5239,4.25,0.7214, 1.5048
63,0.6497,7.9237,4.04,0.6497, 1.5847
64,0.6471,8.0351,3.98,0.6471, 1.6070
65,0.7760,7.8776,4.06,0.7760, 1.5755
66,0.7031,7.6902,4.16,0.7031, 1.5380
67,0.7305,7.9289,4.04,0.7305, 1.5858
68,0.8034,7.4472,4.30,0.8034, 1.4894
69,0.6693,8.0886,3.96,0.6693, 1.6177
70,0.6849,7.7538,4.13,0.6849, 1.5508
71,0.7786,7.7695,4.12,0.7786, 1.5539
72,0.7982,7.3409,4.36,0.7982, 1.4682
73,0.8060,7.4562,4.29,0.8060, 1.4912
74,0.8151,7.4700,4.28,0.8151, 1.4940
75,0.7565,7.8119,4.10,0.7565, 1.5624
76,0.8385,7.4252,4.31,0.8385, 1.4850
77,0.7669,7.8061,4.10,0.7669, 1.5612
78,0.8320,7.0752,4.52,0.8320, 1.4150
79,0.7799,7.6738,4.17,0.7799, 1.5348
80,0.7917,7.2056,4.44,0.7917, 1.4411
81,0.8099,7.5410,4.24,0.8099, 1.5082
82,0.7982,7.4473,4.30,0.7982, 1.4895
83,0.8229,7.4875,4.27,0.8229, 1.4975
84,0.7617,7.7416,4.13,0.7617, 1.5483
85,0.7917,7.2481,4.41,0.7917, 1.4496
86,0.6875,7.9195,4.04,0.6875, 1.5839
87,0.8906,7.1149,4.50,0.8906, 1.4230
88,0.7826,7.4897,4.27,0.7826, 1.4979
89,0.8047,7.1905,4.45,0.8047, 1.4381
90,0.7305,7.5654,4.23,0.7305, 1.5131
91,0.8893,7.1388,4.48,0.8893, 1.4278
92,0.7760,8.0150,3.99,0.7760, 1.6030
93,0.7448,8.0180,3.99,0.7448, 1.6036
94,0.7617,8.0640,3.97,0.7617, 1.6128
95,0.7500,7.9815,4.01,0.7500, 1.5963
96,0.7656,8.0622,3.97,0.7656, 1.6124
97,0.7266,8.1308,3.94,0.7266, 1.6262
98,0.7682,8.0077,4.00,0.7682, 1.6015
99,0.7747,7.8690,4.07,0.7747, 1.5738
100,0.7656,7.9800,4.01,0.7656, 1.5960
101,0.7604,8.1766,3.91,0.7604, 1.6353
102,0.7604,8.1766,3.91,0.7604, 1.6353
