trial_id,datetime_start,datetime_end
0,2023-08-09 09:33:17,2023-08-09 09:34:22
1,2023-08-09 09:34:22,2023-08-09 09:35:27
2,2023-08-09 09:35:27,2023-08-09 09:36:32
3,2023-08-09 09:36:32,2023-08-09 09:37:36
4,2023-08-09 09:37:36,2023-08-09 09:38:41
5,2023-08-09 09:38:41,2023-08-09 09:39:45
6,2023-08-09 09:39:45,2023-08-09 09:40:50
7,2023-08-09 09:40:50,2023-08-09 09:41:55
8,2023-08-09 09:41:55,2023-08-09 09:43:01
9,2023-08-09 09:43:01,2023-08-09 09:44:05
10,2023-08-09 09:44:05,2023-08-09 09:45:11
11,2023-08-09 09:45:11,2023-08-09 09:46:17
12,2023-08-09 09:46:17,2023-08-09 09:47:21
13,2023-08-09 09:47:21,2023-08-09 09:48:27
14,2023-08-09 09:48:27,2023-08-09 09:49:32
15,2023-08-09 09:49:32,2023-08-09 09:50:38
16,2023-08-09 09:50:38,2023-08-09 09:51:43
17,2023-08-09 09:51:43,2023-08-09 09:52:49
18,2023-08-09 09:52:49,2023-08-09 09:54:04
19,2023-08-09 09:54:04,2023-08-09 09:55:09
20,2023-08-09 09:55:09,2023-08-09 09:56:14
21,2023-08-09 09:56:14,2023-08-09 09:57:19
22,2023-08-09 09:57:19,2023-08-09 09:58:24
23,2023-08-09 09:58:24,2023-08-09 09:59:30
24,2023-08-09 09:59:30,2023-08-09 10:00:36
25,2023-08-09 10:00:36,2023-08-09 10:01:43
26,2023-08-09 10:01:43,2023-08-09 10:02:49
27,2023-08-09 10:02:49,2023-08-09 10:03:54
28,2023-08-09 10:03:54,2023-08-09 10:05:00
29,2023-08-09 10:05:00,2023-08-09 10:06:06
30,2023-08-09 10:06:06,2023-08-09 10:07:13
31,2023-08-09 10:07:13,2023-08-09 10:08:18
32,2023-08-09 10:08:18,2023-08-09 10:09:23
33,2023-08-09 10:09:23,2023-08-09 10:10:28
34,2023-08-09 10:10:28,2023-08-09 10:11:34
35,2023-08-09 10:11:34,2023-08-09 10:12:40
36,2023-08-09 10:12:40,2023-08-09 10:13:46
37,2023-08-09 10:13:46,2023-08-09 10:14:53
38,2023-08-09 10:14:53,2023-08-09 10:16:00
39,2023-08-09 10:16:00,2023-08-09 10:17:07
40,2023-08-09 10:17:07,2023-08-09 10:18:14
41,2023-08-09 10:18:14,2023-08-09 10:19:21
42,2023-08-09 10:19:21,2023-08-09 10:20:28
43,2023-08-09 10:20:28,2023-08-09 10:21:34
44,2023-08-09 10:21:34,2023-08-09 10:22:41
45,2023-08-09 10:22:41,2023-08-09 10:23:48
46,2023-08-09 10:23:48,2023-08-09 10:24:56
47,2023-08-09 10:24:56,2023-08-09 10:26:03
48,2023-08-09 10:26:03,2023-08-09 10:27:11
49,2023-08-09 10:27:11,2023-08-09 10:28:20
50,2023-08-09 10:28:20,2023-08-09 10:29:27
51,2023-08-09 10:29:27,2023-08-09 10:30:34
52,2023-08-09 10:30:34,2023-08-09 10:31:40
53,2023-08-09 10:31:40,2023-08-09 10:32:47
54,2023-08-09 10:32:47,2023-08-09 10:33:53
55,2023-08-09 10:33:53,2023-08-09 10:35:00
56,2023-08-09 10:35:00,2023-08-09 10:36:07
57,2023-08-09 10:36:07,2023-08-09 10:37:13
58,2023-08-09 10:37:13,2023-08-09 10:38:19
59,2023-08-09 10:38:19,2023-08-09 10:39:24
60,2023-08-09 10:39:24,2023-08-09 10:40:31
61,2023-08-09 10:40:31,2023-08-09 10:41:38
62,2023-08-09 10:41:38,2023-08-09 10:42:44
63,2023-08-09 10:42:44,2023-08-09 10:43:50
64,2023-08-09 10:43:50,2023-08-09 10:44:58
65,2023-08-09 10:44:58,2023-08-09 10:46:04
66,2023-08-09 10:46:04,2023-08-09 10:47:11
67,2023-08-09 10:47:11,2023-08-09 10:48:18
68,2023-08-09 10:48:18,2023-08-09 10:49:24
69,2023-08-09 10:49:24,2023-08-09 10:50:31
70,2023-08-09 10:50:31,2023-08-09 10:51:37
71,2023-08-09 10:51:37,2023-08-09 10:52:44
72,2023-08-09 10:52:44,2023-08-09 10:53:50
73,2023-08-09 10:53:51,2023-08-09 10:54:57
74,2023-08-09 10:54:57,2023-08-09 10:56:04
75,2023-08-09 10:56:04,2023-08-09 10:57:11
76,2023-08-09 10:57:11,2023-08-09 10:58:19
77,2023-08-09 10:58:19,2023-08-09 10:59:26
78,2023-08-09 10:59:26,2023-08-09 11:00:33
79,2023-08-09 11:00:33,2023-08-09 11:01:41
80,2023-08-09 11:01:41,2023-08-09 11:02:48
